#separator:tab
#html:false
刚接外包项目并倾听完客户的想法、目标和期望后，接下来要做什么？	要根据初步沟通结果，整理并输出详细的《项目方案建议书》。
/chat 和 /resumeDeepOptimize 这两个接口有什么异同呢？	两者都用于让 AI 重写或润色简历。 区别在于：/chat 采用流式分块推送，体验更好；/resumeDeepOptimize 一次性返回全部结果，适合后台调用。
在意图分类中，传统方式和 LLM 方式有什么区别？	传统方式：需训练专门模型（如 BERT、TextCNN），并依赖大量标注数据。 LLM 方式：利用大模型的零样本能力，通过 Prompt 直接完成分类，无需额外训练。
heartbeat、chunk 与流式传输之间是什么关系？	heartbeat：状态消息，表示进度或存活状态（如“正在处理”）。 chunk：实际内容片段（如“根据您的简历…”）。 两者都通过流式方式传输，只是类型不同。
FastAPI 应用的入口文件是哪一个？它的作用是什么？	入口文件是 app.py。 主要作用：加载配置、注册中间件（如 CORS、限流、鉴权），并注册各个路由模块。
中间件是什么意思？CORS、限流、鉴权各有什么作用？	中间件：介于请求与响应之间的处理层，用于统一拦截和处理逻辑。 CORS：允许前端跨域访问接口。 限流：控制请求频率，防止接口被滥用。 鉴权：验证用户身份，确保只有合法用户能访问资源。
app.py 作为 FastAPI 入口文件，加载哪些配置？	通常加载环境变量、日志设置、数据库连接、模型路径、API 密钥等运行所需的全局配置。
middleware/ 目录下的 auth_middleware.py 和 limiter.py 各有什么作用？	auth_middleware.py：负责 Token 验证，进行用户身份校验。 limiter.py：负责接口限流，控制请求频率，防止滥用。
路由层放在哪个文件夹？里面存放什么，负责什么？	放在 routers/ 文件夹中。 存放各接口的定义，负责解析请求参数、调用业务逻辑并返回响应结果。
service/ 文件夹属于哪一层？负责什么？	属于业务逻辑层，负责实现核心算法、调用大模型并进行数据处理。
FastAPI 入口文件需要注册哪些内容？	中间件（如 CORS、限流、鉴权）  路由模块（routers）
路由层通常需要导入哪个层？	需要导入业务层（service 层），以调用具体的业务逻辑。
路由层的核心是定义什么？包含哪些流程？	核心是定义接口。 流程包括：解析请求参数 → 调用业务逻辑层 → 返回（流式）响应。
业务逻辑层包含哪些流程？	构建 Prompt → 调用大模型 → 组织结果（如按模块切分）并以流式或一次性形式返回。
SlowAPI 是第三方库吗？它的作用是什么？	是的。SlowAPI 是一个用于 FastAPI 的第三方限流库，用来控制接口请求频率，防止过载或滥用。
一般注册的三个中间件分别是什么？	CORS 中间件（跨域）、限流中间件、鉴权中间件。
路由层、业务层、工具层分别负责什么？	路由层：处理 HTTP 请求与响应。 业务层：实现核心业务逻辑。 工具层：提供可复用的通用工具函数。
auth_middleware、limiter、CORS 这三个中间件分别关注什么？	auth_middleware：鉴权 limiter：限流 CORS：跨域
所有 router 都直接调用 service 吗？	不是，有些 router 会调用 sdk/ 层，例如 chat_router.py 调用 intent_prompt.py。
middleware 是在 router 之后执行的吗？	不是，在请求到达 router 之前，中间件会先执行鉴权、限流等检查。
配置层“贯穿各层”是什么意思？	表示各层都会通过 from app.config import ai_config 等方式读取配置，贯穿项目全流程。
在 Postman 查看流式响应（SSE）时会看到什么输出？	"响应区域会显示类似以下的连续数据流： data: {""type"":""chunk"",""content"":""您好""}   data: {""type"":""chunk"",""content"":""！""}   data: {""type"":""chunk"",""content"":""欢迎""}   ...   data: {""type"":""DONE"",""content"":""[DONE]""}"
流式响应（SSE）的结束标记是什么？	"最后一条数据为：{""type"":""DONE"",""content"":""[DONE]""}"
设置 Headers 时，Key 和 Value 应该是什么？	Key：Content-Type Value：application/json
为什么调用 /virturlInterview 接口后只返回一条内容，而不是多轮对话？	因为接口设计如此：每次调用只代表面试官说一次话，并不会自动进行多轮对话。
/virturlInterview 这个 HTTP 接口的业务逻辑中，策略 AI 和执行 AI 分别扮演什么角色？	先由“策略 AI”分析对话历史并制定回复策略，再由“执行 AI”流式生成面试官的回复。
/virturlInterview 这个 HTTP 接口的单一职责是什么？	只负责生成面试官的回复。
/virturlInterview 这个 HTTP 接口是否保存数据？每次依据什么生成？	不保存数据，每次都根据传入的对话历史生成回复。
既然 /virturlInterview 接口每次只返回一次回复，那多轮对话是如何实现的？	由调用方（客户端/前端）实现： 1️⃣ 调用接口获取面试官回复； 2️⃣ 用户输入回答； 3️⃣ 将双方对话追加到 dialogHistory； 4️⃣ 再次调用接口； 如此循环，直到面试结束。
白领面试（interviewType=1）和蓝领面试（interviewType=0）在 AI 设计与考察内容上有什么区别？	白领面试：双层 AI（策略+执行），使用 zhixing_sys_prompt，考察硬技能、软技能和文化适配。 蓝领面试：单层 AI（仅执行），使用 lanling_sys_prompt，考察年龄、身体状况和稳定性。
如何自动识别面试结束？输入和输出分别是什么？	通过第三个 AI 模型判断： 输入：面试官的最新回复（ai_response）； AI 分析是否包含结束意图； 输出：仅两个结果——“继续”或“结束”。
判断面试是否结束是通过字符串匹配吗？为什么？	不是，而是通过语义识别。因为结束语可能有多种表达形式，甚至涉及多语言。
策略 AI 和 执行 AI 之间是否会相互交互或回传信息？	不会。两者是串行的单向关系： 策略 AI → 执行 AI → 返回用户， 执行 AI 的结果不会回传给策略 AI。
白领面试与蓝领面试中，用户每发一次消息，接口会经过哪些阶段？	白领面试（interviewType=1）：策略 AI → 执行 AI → 判断 AI； 蓝领面试（interviewType=0）：执行 AI → 判断 AI（无策略 AI）。
Redis是什么？有什么特点？	它是一个超快的临时存储系统，特点包括： ✅ 读写速度极快，比数据库快几十倍 ✅ 使用简单，像字典一样操作（set、get） ✅ 适合存储临时数据，可随时删除 ✅ 支持设置过期时间，自动清理数据
用户的一次回答会经过哪三次模型调用？	依次为：1）策略层：分析问题并参考计划，做出决策2）执行层：根据策略和计划生成回复3）流程判断：判断流程是否结束
报告生成的接口是否应该返回报告本身以及为什么？	不返回报告本身，只返回请求是否成功等状态信息。   原因：报告生成耗时，会在接口内部启动后台异步任务生成，生成完成后再写入数据库并推送到外部配置的 URL。
JSON 格式中，即使是数字 ID，通常也会用字符串表示，这是为什么呢？	避免大数字精度问题
什么时候需要使用 json.dumps()？什么时候不需要？	需要：当要把 Python 字典或列表转换成 JSON 字符串（如发送 HTTP 请求、存数据库、写入文件）。  不需要：当对象已是 JSON 字符串，或框架会自动序列化（如 FastAPI/Flask 自动处理返回值）。
Python 的字典或列表通过 HTTP 传递时是否需要序列化？这样理解对吗？为什么？	是的，需要序列化。  因为 HTTP 传输的是字符串格式，而不是 Python 对象；序列化能把字典或列表转换成 JSON 字符串，便于网络传输和对端解析。
Python 中序列化和反序列化分别使用什么 API？	序列化：json.dumps()  反序列化：json.loads()
"用户请求面试报告接口后立即返回 ""message"": ""success""，但终端持续输出处理日志，这意味着什么？为什么这样设计？"	意味着后台正在异步生成报告，因为 AI 分析耗时。  这样设计是为了立即响应、提升体验，并避免用户等待导致 HTTP 请求超时。
发送请求到生成面试报告接口，会经过哪些流程？	1. 客户端发送请求。  2. FastAPI 接收请求。  3. 数据入库（simulate_report 表，content 为空）。  4. 启动后台任务（background_task.add_task）。  5. 立即返回响应给客户端。  6. 后台任务开始执行，多次调用 AI 分析各维度内容。  7. 生成后更新数据库并将报告 POST 到外部 URL。
"final_report = {     ""overall_assessment"": {...},             ""detailed_analysis"": [...],              ""competency_model_used"": {...},        ""job_match_analysis"": {...},           ""personality_analysis"": {...},           ""salary_analysis"": {...},               ""style_report"": {...},                   ""user_report"": {...}               } 哪些部分属于候选人报告？哪些属于 HR 报告？"	user_report 属于候选人报告；其余所有字段均为 HR 报告。
HR 报告包含哪些维度？	包括：整体评估、详细分析、能力模型、岗位匹配分析、性格分析、薪资分析和风格报告。
"final_report = {     ""overall_assessment"": {...},             ""detailed_analysis"": [...],              ""competency_model_used"": {...},        ""job_match_analysis"": {...},           ""personality_analysis"": {...},           ""salary_analysis"": {...},               ""style_report"": {...},                   ""user_report"": {...}               } final_report 是一次生成的吗？"	不是。它由模型多次调用生成各个子字段后，再汇总注入到 final_report 中。
深度优化分为哪两个接口，以以分别什么作用？	/resume/deep-optimization/converse  深度简历优化对话（多轮）对话型  /resume/deep-optimization/generate  根据对话生成优化简历
模拟面试分为哪两个接口，以以分别什么作用？	/virturlInterview  模拟面试对话 ，对话型  /interviewReport  面试报告生成（后台异步）,生成型
app/identity.py 这个文件它作用是什么呀？	它的作用应该就是返回身份设定的提示词。就比如说我是慧星老师之类的，然后可以做成这样一个工具，然后注入到之后的每轮的对话的系统提示词里面。
resume/deep-optimization/converse 请求这个接口的时候，plan字段什么时候会返回以及如何使用？	plan 字段 只会在第一次调用返回，之后每一次请求都必须携带该字段
resume/deep-optimization/converse 请求这个接口的时候，over 信号表示什么意思，以及检测到之后，前端应该如何去做？	对话可以结束，对话结束信号，前端收到后可调用 generate 接口生成简历
resume/deep-optimization/converse 返回的内容里面over 信号和generate 接口的接口是什么关系？	"监听 over 信号 → 显示""生成简历""按钮。 用户点击后 → 调用 generate 接口"
resume/deep-optimization/converse 对于这个接口，首次请求和再次请求，流程上分别有什么区别？	首次请求： 构造首次请求 → 不带 conversation_plan， 接收响应 → 展示所有 chunk 内容， 从返回中提取 plan 字段并保存，  再次请求： 后续每次请求都携带 conversation_plan=plan， 同时把历史对话按顺序写入 history
