MCP是什么类型的协议？ | 通信协议
pyproject.toml中mcp-tool = "mcp_tool:main"表示？ | 用户获得mcp-tool命令，执行mcp_tool.py的main函数
subprocess的作用？ | 启动外部进程，可以发送stdin、读取stdout和stderr
subprocess通过什么进行通信？ | 标准输入输出
subprocess不仅创建子进程，还负责什么？ | 父子进程之间的通信
UNIX进程模型中父子进程如何通信？ | 父→子用stdin，子→父用stdout（正常输出）或stderr（错误输出）
"FastMCP只简化server开发"这个说法对吗？ | 不对，FastMCP同时支持server和client开发
FastMCP中client能用装饰器吗？为什么？ | 不能，装饰器用于定义server端工具和功能
MCP Client的职责是什么？ | 连接MCP服务器、发出调用、读取返回数据
FastMCP中server和client的写法区别？ | Server用装饰器，Client用函数调用
如果server用官方MCP库实现，client能用FastMCP吗？ | 可以，FastMCP client可以与任何MCP server通信
FastMCP Client为什么能兼容任何MCP server？ | MCP是协议标准，只要遵循协议即可互通
pyproject.toml中mytool = "mytool:main"的含义？ | 将mytool.py的main函数映射成mytool命令
mytool = "mytool:main"的真正含义？ | 生成名为mytool的CLI命令，执行时运行mytool模块的main函数
mytool = "mytool:main"等号两侧的含义？ | 左侧mytool是CLI命令名，右侧mytool:main是Python模块与函数的入口点路径
