#separator:tab
#html:false
clone 代码后用 pip install -e . 安装的，直接在 mini.yaml 里填 api_key 就行，改完保存为什么立马生效？	因为 editable install 会创建指向源码目录的链接。
mini.yaml里面，system_template提示词模板的角色是什么？	"作用：定义 LLM 的角色和基本规则，比如角色定义：""helpful assistant""，响应格式要求，THOUGHT 思考过程要求"
mini.yaml里面，instance_template 提示词模板的角色是什么？	作用：定义任务说明和工作流程，比如：任务描述，推荐工作流程（分析→复现→修复→验证），重要规则，命令示例（创建文件、sed 编辑等）
mini-swe-agent里面，使用 MCP 方案时的覆盖 mini.yaml里面，哪两个模板？以及如何去覆盖？	"system_template	✅ 被覆盖	替换为 MCP 专用 prompt（包含工具列表） instance_template	✅ 被覆盖	替换为 MCP 任务模板（强制使用工具）"
mini-swe-agent里面使用mcp方案的时候，需要修改instance_template ，往里面加入了什么东西?	MCP 工具列表以及说明，告诉模型可以利用的工具有哪些
mini-swe-agent里面使用mcp方案的时候，需要修改instance_template，往里面加入了什么东西?	接受用户的提问之后，强制先用 @amd:query 查询
mini-swe-agent里面system_template、instance_template，这两个部分分别是专注什么方面？	system_template核心角色，instance_template任务定义以及工作流
使用MCP Client方案，那么 是否调用tool 由LLM 的 tool_use 机制决定，这意味着什么？	模型自主决定是否调用 MCP，无法保证每次都走。
MCP Client方案由 LLM 的 tool_use 机制决定，这是什么意思？	模型自主决定是否调用 MCP，无法保证每次都走。具体来说，完整 MCP Client 方案中，LLM 会根据自己的判断决定是否调用工具，控制力较弱。
选择当前方案（扩展 Environment）而不是完整 MCP Client的原因，在进程方面的优势是什么？	"直接 import Python 代码，无额外进程	，而MCP Client方案 需要启动 MCP Server 进程"
选择当前方案（扩展 Environment）而不是完整 MCP Client的原因，在解耦方面的好处是什么？	展 Environment这个方案，实现了解耦，不修改 Agent 核心代码，对原有的代码没有侵入性，独立目录，而MCP Client方案需要大范围修改代码，需要实现 MCP 协议
选择当前方案（扩展 Environment）而不是完整 MCP Client的原因，在控制力方面的好处是什么？	"扩展 Environment这个方案里面，控制力更好，可通过 prompt 精细控制调用时机，而MCP Client方案由 LLM 的 tool_use 机制决定，模型自主决定是否调用 MCP，无法保证每次都走。具体来说，完整 MCP Client 方案中，LLM 会根据自己的判断决定是否调用工具，控制力较弱。 扩展 Environment的方案里面，可以通过 prompt 可以精细控制：强制首先调用 MCP：""Your FIRST response MUST be an @amd: tool command""，控制调用时机：可以要求 ""每次回答前必须查询""，控制输出格式：可以要求特定的总结格式，禁止某些行为：""DO NOT answer from your own knowledge"""
mini-swe-agent接入ai-devtool mcp server之后，整体的工作执行流程是什么样的？	用户输入任务LLM 被要求先调用 @amd:query 查询知识库MCP Server 返回专业知识LLM 基于知识库内容生成回答
在服务器上开发的呀，所以代码应该也在服务器,那我怎么给它弄下来呢	"使用 scp 下载到本地,在你的本地电脑上执行  # 下载 mcp_integration 目录 scp -r 用户名@服务器地址:/path/to/mcp_integration ./ 由于配置了 SSH，可以直接用别名 mi308 连接，比如：scp -r mi308:/path/to/mcp_integration ./"
rompts.py 里面的COMPLETE_TASK_AND_SUBMIT_FINAL_OUTPUT 作用是什么？	"这是 mini-swe-agent 中定义的 任务结束信号。  has_finished() 检测匹配 ""COMPLETE_TASK_AND_SUBMIT_FINAL_OUTPUT""，匹配到之后，抛出 Submitted 异常，通过抛出异常的方式来跳出循环，捕获异常，返回 (""Submitted"", ""这是最终总结\nHIP 是..."")"
mini-swe-agent里面通过environment的方式使用了mcp，那么INSTANCE_TEMPLATE里面的流程是如何改变的？	强制 LLM 第一步必须调用 MCP 工具- 不能直接回答，必须先查询知识库- LLM 需要从用户任务中提取关键词
INSTANCE_TEMPLATE 这个提示词模板里面强制 LLM 第一步必须调用 MCP 工具，意味着什么？	- 不能直接回答，必须先查询知识库  - LLM 需要从用户任务中提取关键词
