Agent里面，Observation的作用有哪三点？ | 判断任务是否完成、决定下一步行动、触发结束信号。
Protocol的本质是什么？ | Protocol是Python对"鸭子类型"的形式化支持。
鸭子类型是什么意思？ | 如果它走起来像鸭子，叫起来像鸭子，那它就是鸭子。
鸭子类型是什么？ | 如果它走起来像鸭子，叫起来像鸭子，那它就是鸭子。翻译成代码：如果一个对象有quack()方法，那它就可以被当作"鸭子"使用。
Protocol是自定义的吗？ | 不是，是Python标准库typing.Protocol。
为什么用Protocol？ | 定义"契约"，只要有对应方法就能用，不需要继承。
Protocol的核心价值是什么？ | 通过依赖注入来解耦 - 换实现不需要改代码。
Protocol、具体实现、依赖注入、Agent的类比分别是什么？ | Protocol（接口）→ USB接口标准；具体实现→各种USB设备（鼠标、键盘、U盘）；依赖注入→把USB设备插入电脑；Agent→电脑（只关心设备符合USB标准，不关心具体是什么）。
class Printer(Protocol)：Protocol本身是用来继承的吗？ | 不是的，只是"描述"一个接口长什么样。
定义Protocol：class Printer(Protocol)说明"能打印的东西要有print_content方法"，FilePrinter这个类是否需要继承？如何构造？ | FilePrinter不需要继承任何东西。class FilePrinter: # ← 注意：没有(Printer)，然后实现print_content方法即可。
函数do_print(printer: Printer, content: str)接受Printer类型，调用do_print(FilePrinter(), "Hello")，这里要求Printer却传入FilePrinter，可以用吗？为什么？ | 可以使用。因为Printer是Protocol，里面有print_content方法，而FilePrinter也有print_content方法，所以被认为是兼容的。Python检查的是：FilePrinter有没有print_content()方法？有→符合Printer Protocol，可以用；没有→不符合，类型检查报错。
要兼容第三方类，为什么用Protocol而不是抽象类？第三方类"碰巧有方法"就能用？ | 因为第三方类（如标准库的io.StringIO）没法让它们继承你的抽象类，但它们"碰巧"都有需要的方法。用Protocol就能直接用，传统抽象类做不到这一点。
依赖注入的理解是什么？ | 类的成员不需要新建对象，而是通过构造方法从外面接受新建好的对象，并且构造函数的参数是抽象的而非具体的。
依赖注入里面的"依赖"是什么？ | "依赖"是一个类需要另一个对象才能正常工作，这个对象就是依赖。
依赖注入里面的"注入"是什么？ | 注入是把依赖的对象从外部"注射"进去，而不是内部自己创建。
对于依赖注入，不注入和注入分别是什么意思？ | 不注入：依赖在内部创建；注入：依赖从外部传入。
依赖和注入合起来的含义是什么？ | 依赖注入=把类所依赖的对象，从外部注射进去。
"依赖"和"注入"分别是什么？ | "依赖"是class A需要obj B才能工作；"注入"是把obj B从外部传给class A，而不是class A自己内部创建。
ABC（抽象基类）和Protocol的继承要求分别是什么？ | ABC（抽象基类）必须显式继承；Protocol不需要继承。
class Printer(Protocol)和class FilePrinter的说法分别是什么？ | class Printer(Protocol)=定义一个Protocol（接口规范）；class FilePrinter=符合/实现这个Protocol（要写具体内容）。
class Printer(Protocol)用"一个类继承了Protocol"来表述合适吗？ | 不合适，这是【定义】Protocol。
"一个类继承了Protocol"的修正说法是什么？ | 一个类定义为Protocol（class X(Protocol)）。
一个类定义为Protocol，它的作用是什么？ | 作为函数的形参、作为类型提示。
函数的形参是Protocol，什么样的实参可以传入？ | 任何具有所有要求方法的对象都能传入。
Protocol类里面需要写内容吗？ | 这是接口定义，方法用...不写内容。
依赖注入里面的依赖指什么？ | "依赖"是一个类需要另一个对象才能正常工作。
class Printer(Protocol)这样写，Printer被称作什么？ | Protocol类最准确，或者规范类（表达"规范/契约"）。
形参是Protocol，实参是对象A（方法更多），能传入吗？ | 可以的。Protocol只要求"至少有这些方法"，多了没关系。
形参是Protocol，实参是对象B（方法不全），能传入吗？ | 可以传入。静态检查（IDE/mypy）会警告，但不影响运行；运行时不会立即报错，只有实际调用缺失的方法时才报错。
Protocol只是强约束吗？为什么？ | 不是。Protocol是类型提示，不是强制约束。行为：静态检查（IDE/mypy）会警告类型不匹配；运行时传参不检查不报错；运行时调用缺失方法时才报AttributeError。
形参是Protocol，实参有三种情况：ObjectA（全有+额外）、ObjectB（缺一个）、ObjectC（全缺），在IDE检查、传参时、调用时的结果分别是什么？ | ObjectA（全有+额外）：IDE检查✅、传参时✅、调用时✅；ObjectB（缺一个）：IDE检查⚠️警告、传参时✅不报错、调用时❌调用缺的才报错；ObjectC（全缺）：IDE检查⚠️警告、传参时✅不报错、调用时❌调用时报错。
既然不强制约束，Protocol有什么用？有vs没有Protocol有什么区别？ | 没有Protocol：IDE提示无、写代码时发现错误不能、代码可读性差；有Protocol：IDE提示有、写代码时能发现错误、代码可读性好。
既然不强制约束，Protocol有什么用？ | Protocol是给人和工具IDE看的，不是给Python解释器看的。它把"运行时才发现的错误"提前到写代码时。
函数形参是Protocol，对实参有具体要求吗？什么时候会报错？ | 没有具体要求，都可以传入。Python只有在实际调用缺失的方法时才会报错。如果函数里根本没用到Protocol规定的方法，传什么对象都能跑。
函数形参是Protocol，传入的实参不包含Protocol里面的方法，会有什么后果？为什么？ | 顶多是IDE报警告，但不影响运行。因为Protocol=类型提示=给人和工具IDE看的，而不是给Python解释器看的。IDE看到会警告但不阻止运行，Python解释器完全忽略照常执行。
Protocol的本质是什么？ | 它是静态检查的工具，不是运行时约束。IDE警告≠运行失败。
