#separator:tab
#html:false
AIG-Eval提供标准化的评分机制：包括那三方面？	编译成功、正确性、性能加速比
AIG-Eval评估的时候，过程可能不同，但最终评分维度是确定的，评分是如何确定的？	┌─────────────────────────────────────────────────────────────┐ │  不管 Agent 怎么折腾，最终都要回答：                           │ │                                                             │ │  ✓ 编译通过了吗？        → pass_compilation: true/false     │ │  ✓ 正确性验证通过了吗？   → pass_correctness: true/false     │ │  ✓ 性能加速了多少？       → speedup_ratio: 1.5x             │ └─────────────────────────────────────────────────────────────┘
AIG-Eval的正式评测中，为什么通常会同一个 Agent + 同一个 Task 跑 多次（如 5 次）？	agent在生成的时候有随机性，这样能减少随机性的影响
AIG-Eval里面，Prompt 由 6 个部分拼接而成，分别是什么？	"prompt_sections = []       # 1. Task Type Section      ← 任务类型描述     # 2. Source Code Section    ← 要优化的文件     # 3. Instructions Section   ← 编译/测试命令     # 4. Output Format Section  ← 结果模板     # 5. Cheatsheet Section     ← 优化技巧参考     # 6. Workspace Info         ← 工作目录信息       final_prompt = ""\n\n"".join(prompt_sections)"
"AIG-Eval里面Prompt 由 下面这6 个部分拼接而成，分别是什么含义？     # 1. Task Type Section        # 2. Source Code Section          # 3. Instructions Section        # 4. Output Format Section      # 5. Cheatsheet Section         # 6. Workspace Info"	"# 1. Task Type Section      ← 任务类型描述     # 2. Source Code Section    ← 要优化的文件     # 3. Instructions Section   ← 编译/测试命令     # 4. Output Format Section  ← 结果模板     # 5. Cheatsheet Section     ← 优化技巧参考     # 6. Workspace Info         ← 工作目录信息"
为什么把各个指令通过提示词喂给agent来让 Agent 决策？	这是评测 Agent 自主编程能力的核心目标，不是跑脚本
agent进行优化的时候会存在随机性，这会影响评测吗？	会，但最终评分维度固定；实际评测会多次运行取统计值
AIG-Eval里面喂给agent的Prompt 怎么拼接？	6 个部分：任务类型 + 源码信息 + 命令指令 + 输出格式 + 优化参考 + 工作目录
"AIG-Eval框架告诉 Agent ""做什么""（What），而不是 ""怎么做""（How）。这句话是如何理解的以及为什么要这样？"	把agent 调用的编译的运行的等等指令，都通过提示词词喂给agent让他自主进行调用因为这样评测的就是 Agent 自主解决问题的能力！
AIG-Eval整体的执行流程是什么样的？	┌─────────────────┐ │  config.yaml    │  ← 选择 agent、tasks └────────┬────────┘          │          ▼ ┌─────────────────┐ │   main.py       │  ← 主控制器 └────────┬────────┘          │     ┌────┴────┐     ▼         ▼ ┌───────┐  ┌───────┐ │Agent  │  │Task   │  ← 动态加载 │Registry│ │Config │ └───┬───┘  └───┬───┘     │          │     └────┬─────┘          ▼ ┌─────────────────┐ │ setup_workspace │  ← 复制任务到独立工作区 └────────┬────────┘          │          ▼ ┌─────────────────┐ │ agent_launcher  │  ← 执行优化（调用 Agent） └────────┬────────┘          │          ▼ ┌─────────────────┐ │ post_processing │  ← 编译/正确性/性能测试 + 评分 └─────────────────┘
AIG-Eval 整体的执行流程是什么样的？	从 config.yaml 选择 agent 和任务开始，由 main.py 作为主控制器，动态加载 Agent Registry 和 Task Config，创建独立工作区后调用 Agent 执行优化，最后进行结果的编译、正确性与性能测试并完成评分。
AIG-Eval会从 config.yaml 选择 什么？	agent 和任务
AIG-Eval 里面main.py 作为主控制器，动态加载什么？	Agent Registry 和 Task Config
AIG-Eval里面。setup_workspace是什么作用以及后续进行什么操作？	作用是复制任务到独立工作区，调用agent_launcher   执行优化（调用 Agent）
post_processing  这个函数的作用是什么？	编译/正确性/性能测试 + 评分
AIG-Eval里面如何添加新 Agent：	在 agents/ 目录下创建新模块，实现 launch_agent 函数并用 @register_agent 装饰器注册
AIG-Eval里面如何添加新任务：	在 tasks/ 下创建目录，写好 config.yaml 和源代码
"launch_agent.py 里面的AGENT = ""mini""表示什么意思？"	这是命令名，不是目录路径！
AIG-Eval/agents/SWE_agent/   里面的 launch_agent.py 的作用是什么？	"告诉框架""怎么调用这个 agent"""
AIG-Eval框架去测试mini-swe-agent的时候，是否关心 mini-swe-agent 目录在哪里？	不关心，只要求系统能找到 mini 这个命令！
mini-swe-agent里面，Agent 加载流程是什么样的？	"1. 从 config.yaml 读取 agent.template，获取 agent 名称。    2. 在 module_registration.py 中，将字符串映射为 AgentType 枚举（如 SWE_AGENT）。   3. 根据枚举类型导入对应的 Agent 启动器（agents/SWE_agent/launch_agent.py）。   4. 调用通过 @register_agent(""swe_agent"") 注册的 launch_agent 函数。   5. 通过系统 PATH 查找并执行 mini 命令。"
mini-swe-agent里面，Agent 加载流程的流程图是什么样的？	"┌─────────────────────────────────────────────────────────────────────┐ │                      Agent 加载流程                                  │ └─────────────────────────────────────────────────────────────────────┘  config.yaml ┌─────────────────┐ │ agent:          │ │   template: SWE-agent  ← 第 1 步：读取 agent 名称 └────────┬────────┘          │          ▼ module_registration.py ┌─────────────────────────────────────────────────────────────────────┐ │ 第 2 步：将字符串 ""SWE-agent"" 转换为 AgentType.SWE_AGENT 枚举        │ │                                                                     │ │ class AgentType(Enum):                                              │ │     SWE_AGENT = ""swe_agent""                                         │ │                                                                     │ │ 第 3 步：根据枚举类型，import 对应的模块                              │ │                                                                     │ │ if agent_type == AgentType.SWE_AGENT:                               │ │     from agents.SWE_agent import launch_agent  ← 导入启动器         │ └────────┬────────────────────────────────────────────────────────────┘          │          ▼ agents/SWE_agent/launch_agent.py ┌─────────────────────────────────────────────────────────────────────┐ │ 第 4 步：启动器被调用                                                │ │                                                                     │ │ @register_agent(""swe_agent"")                                        │ │ def launch_agent(...):                                              │ │     AGENT = ""mini""                                                  │ │     cmd = f""{AGENT} {OPTIONS} ...""                                  │ │     subprocess.Popen(cmd, ...)   ← 调用系统命令 ""mini""               │ └────────┬────────────────────────────────────────────────────────────┘          │          ▼ 系统 PATH ┌─────────────────────────────────────────────────────────────────────┐ │ 第 5 步：系统找到 ""mini"" 命令并执行                                  │ │                                                                     │ │ $ which mini                                                        │ │ /home/puyuyang/projects/work/mini-swe-agent/bin/mini  (或类似路径)  │ └─────────────────────────────────────────────────────────────────────┘"
mini-swe-agent里面，Agent 加载流程里面，是如何读取 agent 名称？	config.yaml里面的agent.template字段
mini-swe-agent里面，Agent 加载流程里面，module_registration.py里面是如何将字符串 转换为枚举并import 对应的模块  ？	"┌─────────────────────────────────────────────────────────────────────┐ │ 第 2 步：将字符串 ""SWE-agent"" 转换为 AgentType.SWE_AGENT 枚举        │ │                                                                     │ │ class AgentType(Enum):                                              │ │     SWE_AGENT = ""swe_agent""                                         │ │                                                                     │ │ 第 3 步：根据枚举类型，import 对应的模块                              │ │                                                                     │ │ if agent_type == AgentType.SWE_AGENT:                               │ │     from agents.SWE_agent import launch_agent  ← 导入启动器         │ └────────┬────────────────────────────────────────────────────────────┘"
mini-swe-agent里面，Agent 加载流程里面，launch_agent.py 里面启动器被调用是如何实现的？	"┌─────────────────────────────────────────────────────────────────────┐ │ 第 4 步：启动器被调用                                                │ │                                                                     │ │ @register_agent(""swe_agent"")                                        │ │ def launch_agent(...):                                              │ │     AGENT = ""mini""                                                  │ │     cmd = f""{AGENT} {OPTIONS} ...""                                  │ │     subprocess.Popen(cmd, ...)   ← 调用系统命令 ""mini""               │ └────────┬────────────────────────────────────────────────────────────┘"
"mini-swe-agent里面，Agent 加载流程里面，系统找到 ""mini"" 命令并执行 是如何实现的？"	"┌─────────────────────────────────────────────────────────────────────┐ │ 第 5 步：系统找到 ""mini"" 命令并执行                                  │ │                                                                     │ │ $ which mini                                                        │ │ /home/puyuyang/projects/work/mini-swe-agent/bin/mini  (或类似路径)  │ └─────────────────────────────────────────────────────────────────────┘"
mini 命令 在系统 PATH 中，这意味着输入什么指令可以找到？	which mini 能找到
